Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,org.mockito.internal.util.reflection,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\util\reflection\GenericMetadataSupport.java,3,69,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockito.internal.util.reflection,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\util\reflection\InstrumentationMemberAccessor.java,3,238,"The method 'invoke(Method, Object, Object[])' has a cyclomatic complexity of 10.",Design,CyclomaticComplexity
2,org.mockito.internal.util.reflection,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\util\reflection\InstrumentationMemberAccessor.java,3,313,"The method 'set(Field, Object, Object)' has a cyclomatic complexity of 11.",Design,CyclomaticComplexity
3,org.mockito.internal.util.reflection,dataset\projects\mockito\mockito-core\src\main\java\org\mockito\internal\util\reflection\InstrumentationMemberAccessor.java,3,387,"The method 'assureArguments(AccessibleObject, Object, Class<?>, Object[], Class<?>[])' has a cyclomatic complexity of 13.",Design,CyclomaticComplexity
1,org.mockito.internal.invocation,dataset\projects\mockito\mockito-core\src\testFixtures\java\org\mockito\internal\invocation\InvocationBuilder.java,3,27,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockitousage,dataset\projects\mockito\mockito-core\src\testFixtures\java\org\mockitousage\IMethods.java,3,11,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockitousage,dataset\projects\mockito\mockito-core\src\testFixtures\java\org\mockitousage\MethodsImpl.java,3,11,The class 'MethodsImpl' has a total cyclomatic complexity of 128 (highest 1).,Design,CyclomaticComplexity
2,org.mockitousage,dataset\projects\mockito\mockito-core\src\testFixtures\java\org\mockitousage\MethodsImpl.java,3,11,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockitoutil,dataset\projects\mockito\mockito-core\src\testFixtures\java\org\mockitoutil\ClassLoaders.java,3,5,A value of 31 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.mockitoutil,dataset\projects\mockito\mockito-core\src\testFixtures\java\org\mockitoutil\ClassLoaders.java,3,46,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
3,org.mockitoutil,dataset\projects\mockito\mockito-core\src\testFixtures\java\org\mockitoutil\ClassLoaders.java,3,151,The method 'reloadTaskInClassLoader(Runnable)' has a cyclomatic complexity of 11.,Design,CyclomaticComplexity
1,org.mockitoutil,dataset\projects\mockito\mockito-core\src\testFixtures\java\org\mockitoutil\ClassLoadersTest.java,3,21,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockitoutil,dataset\projects\mockito\mockito-core\src\testFixtures\java\org\mockitoutil\TestBase.java,3,32,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.mockito.errorprone.bugpatterns,dataset\projects\mockito\mockito-extensions\mockito-errorprone\src\main\java\org\mockito\errorprone\bugpatterns\AbstractMockitoAnyForPrimitiveType.java,3,38,"The method 'matchMethodInvocation(MethodInvocationTree, VisitorState)' has a cyclomatic complexity of 10.",Design,CyclomaticComplexity
