project,class_key,class_name,class_file,test_file,has_code_smell,code_smell_total,has_test_smell,test_smell_total,code_smell_CouplingBetweenObjects,code_smell_CyclomaticComplexity,code_smell_GodClass,code_smell_TooManyFields,code_smell_TooManyMethods,test_smell_App,test_smell_Version,test_smell_RelativeTestFilePath,test_smell_RelativeProductionFilePath,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
mockito,org/mockito/internal/InOrderImpl,InOrderImpl,dataset/projects/mockito/mockito-core/src/main/java/org/mockito/internal/InOrderImpl.java,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/internal/InOrderImplTest.java,1,1,1,5,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/internal/InvalidStateDetection,InvalidStateDetection,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/internal/InvalidStateDetectionTest.java,0,0,1,7,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
mockito,org/mockito/internal/MockitoCore,MockitoCore,dataset/projects/mockito/mockito-core/src/main/java/org/mockito/internal/MockitoCore.java,,1,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/internal/PremainAttach,PremainAttach,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/internal/PremainAttachTest.java,0,0,1,4,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/internal/PremainAttachAccess,PremainAttachAccess,dataset/projects/mockito/mockito-core/src/main/java/org/mockito/internal/PremainAttachAccess.java,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/internal/configuration/ClassPathLoader,ClassPathLoader,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/internal/configuration/ClassPathLoaderTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/internal/configuration/GlobalConfiguration,GlobalConfiguration,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/internal/configuration/GlobalConfigurationTest.java,0,0,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mockito,org/mockito/internal/configuration/MockAnnotationProcessor,MockAnnotationProcessor,dataset/projects/mockito/mockito-core/src/main/java/org/mockito/internal/configuration/MockAnnotationProcessor.java,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/internal/configuration/MockAnnotationProcessorTest.java,1,1,1,4,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/internal/configuration/MockInjection,MockInjection,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/internal/configuration/MockInjectionTest.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/internal/configuration/injection/ConstructorInjection,ConstructorInjection,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/internal/configuration/injection/ConstructorInjectionTest.java,0,0,1,5,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/internal/configuration/injection/SimpleArgumentResolver,SimpleArgumentResolver,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/internal/configuration/injection/SimpleArgumentResolverTest.java,0,0,1,6,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mockito,org/mockito/internal/configuration/plugins/DefaultMockitoPlugins,DefaultMockitoPlugins,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/internal/configuration/plugins/DefaultMockitoPluginsTest.java,0,0,1,5,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/internal/configuration/plugins/PluginFileReader,PluginFileReader,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/internal/configuration/plugins/PluginFileReaderTest.java,0,0,1,5,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/internal/configuration/plugins/PluginFinder,PluginFinder,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/internal/configuration/plugins/PluginFinderTest.java,0,0,1,7,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
mockito,org/mockito/internal/configuration/plugins/PluginLoader,PluginLoader,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/internal/configuration/plugins/PluginLoaderTest.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/internal/creation/AbstractMockMaker,AbstractMockMaker,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/internal/creation/AbstractMockMakerTest.java,0,0,1,5,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/internal/creation/DelegatingMethod,DelegatingMethod,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/internal/creation/DelegatingMethodTest.java,0,0,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mockito,org/mockito/internal/creation/InterfaceOverride,InterfaceOverride,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/mockito/mockito-core/src/test/java/org/mockito/internal/creation/InterfaceOverrideTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
